	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000003.14	739.940299737252	-0.361148707948839	0.105786272220005	-3.41394682287088	0.000640290716628149	0.00467887548124692
ENSG00000000419.12	511.735669960126	0.206318547691483	0.127741023137315	1.61513147949113	0.106282225157858	0.284623884094712
ENSG00000000457.13	314.194810885355	0.0378516497735159	0.157698792709442	0.240024981315216	0.810310890316775	0.920033367217503
ENSG00000000460.16	79.7936814266229	-0.115374679540757	0.314070841223042	-0.36735240715588	0.713356167180714	0.869480721447054
ENSG00000000971.15	5716.78534427121	0.447092152579314	0.0890800095061184	5.01899533978615	5.19424097673831e-07	8.22331395503679e-06
ENSG00000001036.13	2002.75509892108	-0.215384077235814	0.081493242973565	-2.64296853796432	0.00821826714287689	0.0405437742832848
ENSG00000001084.12	645.839139254677	-0.134680600743269	0.176154333864248	-0.764560245489388	0.444533449395254	0.687597747364736
ENSG00000001167.14	401.447489265101	-0.507461272337609	0.134746681365534	-3.76603911276295	0.00016585782067022	0.00145770208565938
ENSG00000001460.17	189.822925432321	-0.0713603293591833	0.198355458230314	-0.359759847275418	0.719026732627057	0.87271111163112
ENSG00000001461.16	2862.10547166231	0.0116861027431267	0.110843208148307	0.105429127669156	0.916035304316633	0.969305640300161
ENSG00000001497.16	528.489924360341	-0.0667859498824797	0.124761055519678	-0.535310875691862	0.592434907143281	0.79565054062084
ENSG00000001561.6	113.46677944065	0.199526200295472	0.249252815345684	0.800497278310587	0.423422739828435	0.668536575932279
ENSG00000001617.11	603.937093143441	-0.227885614821318	0.127163281161974	-1.79207089294156	0.0731216107171562	0.218620159682132
ENSG00000001626.15	7.9255532578954	-0.0568436416928245	0.871922089265509	-0.0651934873455363	0.948019946444958	NA
ENSG00000001629.9	1789.16038874501	-0.288328753294006	0.0985361849354583	-2.92612052600639	0.00343217939822434	0.0194890023922247
ENSG00000001630.16	1002.54649182776	-0.228533081310952	0.111081582092189	-2.05734449407903	0.0396531002570402	0.138068035726448
ENSG00000001631.15	805.201245433186	-0.0397614256104217	0.139253628769006	-0.285532419958535	0.7752362701676	0.900881624498609
ENSG00000002016.17	178.767716815351	-0.456730074870197	0.192671894541202	-2.37050700081494	0.0177637075192386	0.0746879099565173
ENSG00000002330.13	680.880262984192	0.0255878133798207	0.105362137689567	0.242855867780618	0.808117054568791	0.919121239118749
ENSG00000002549.12	1236.59980018296	0.175617717572815	0.110859574026766	1.58414570067186	0.113160566549522	0.297693589158891
ENSG00000002586.19	8319.50157017222	0.0806080468124037	0.0812493162803218	0.992107386286111	0.321145143790905	0.575705859156417
ENSG00000002587.9	1.47881218012947	-1.02737212170835	1.8659525668175	-0.550588551916193	0.581915758403317	NA
ENSG00000002745.12	6.00352128674466	0.0226423404297609	0.916866202485763	0.0246953594410767	0.98029795658276	NA
ENSG00000002746.14	120.285878181961	0.173176100476142	0.271238019108644	0.638465437276243	0.523170745930476	0.747693164437662
ENSG00000002822.15	342.456207860816	-0.123545424621616	0.146755319468187	-0.841846313096662	0.399873984545676	0.647898069073136
ENSG00000002834.17	8331.5862465971	0.426733051588061	0.0937965320452824	4.54956107952952	5.37579287045087e-06	6.93589189623168e-05
ENSG00000002919.14	248.020958876081	0.294755393629602	0.163141708968037	1.80674455045308	0.0708021179433027	0.213247415706124
ENSG00000002933.8	543.125844537014	0.3422602551944	0.173822683701011	1.96901950831179	0.0489508509166994	0.162625280770309
ENSG00000003056.7	1791.25997762085	-0.00690767047808979	0.0895528622855143	-0.0771351166428004	0.938516057167413	0.976990836742737
ENSG00000003096.14	410.697532381785	-0.952065796424284	0.144829856483815	-6.57368459472774	4.90851523432548e-11	1.35543059292413e-09
ENSG00000003137.8	105.749278505692	-0.955046412268755	0.336395692996779	-2.83905659956799	0.0045247130368955	0.0245196074998087
ENSG00000003147.18	6.96848260312522	-0.244602166650195	0.80921774139226	-0.302269901089115	0.762446321263615	NA
ENSG00000003249.13	120.988779504635	-0.317440758311369	0.22226790876775	-1.42818979164044	0.153237238092045	0.365124867183864
ENSG00000003393.14	846.251542084982	0.143932019304955	0.135534673380692	1.0619571782984	0.288255125613702	0.542167165563638
ENSG00000003400.14	88.3155575898976	-0.226167949629447	0.254705285336265	-0.887959389342305	0.374562596598861	0.626632537957862
ENSG00000003402.19	3185.22387476642	1.1929372374879	0.108527456344728	10.9920316725994	4.1742248700923e-28	4.95400560114358e-26
ENSG00000003436.15	4882.33447276623	-0.221778009583501	0.138273814927537	-1.60390461274049	0.108735079914047	0.289142352976588
ENSG00000003509.15	305.141084739101	-0.119452625957727	0.145959028867684	-0.818398333315948	0.413129773117253	0.659375525618347
ENSG00000003756.16	2866.03663437767	-0.142461299494904	0.0975856474363947	-1.45985914155828	0.144328790471794	0.351199357242258
ENSG00000003987.13	29.4455044465723	0.69259372625864	0.40978765996259	1.69012831260431	0.0910034093592939	0.255597692550927
ENSG00000003989.17	39.0283771723286	0.442535220591347	0.455558334001872	0.971412852233163	0.331342731021239	0.58547962672044
ENSG00000004059.10	1668.90822969296	0.383704985142896	0.0856762090180593	4.4785476568182	7.51525939058955e-06	9.33632892666114e-05
ENSG00000004139.13	301.447627646619	-0.0931633691220486	0.18640979580259	-0.499777217827703	0.617231953944409	0.812712213180088
ENSG00000004142.11	1449.97918639346	0.172885219843264	0.0862900495844848	2.0035359890945	0.0451197886949188	0.152593885210342
ENSG00000004399.12	3591.15733707577	-0.0616321495020585	0.106414603799649	-0.579170032132957	0.562474449505896	0.776068402613125
